zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
APP测试工程师,https://jobs.51job.com/shanghai-xhq/106008050.html?s=01&amp;t=0,宇起数字科技（上海）有限公司,https://jobs.51job.com/all/co4420442.html,0.8-1万/月,上海-徐汇区,08-24
高级测试工程师,https://jobs.51job.com/shanghai/104312605.html?s=01&amp;t=0,上海链尔信息科技有限公司,https://jobs.51job.com/all/co4908713.html,1-1.5万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai/100541299.html?s=01&amp;t=0,上海东方希杰商务有限公司/东方购物/东方CJ,https://jobs.51job.com/all/co1980867.html,1-1.8万/月,上海,08-24
硬件测试工程师,https://jobs.51job.com/shanghai/103909967.html?s=01&amp;t=0,与德通讯技术有限公司,https://jobs.51job.com/all/co2498138.html,0.6-1.5万/月,上海,08-24
高级软件测试工程师,https://jobs.51job.com/shanghai-xhq/56439825.html?s=01&amp;t=0,聚领信息技术（上海）有限公司,https://jobs.51job.com/all/co2790392.html,0.8-1万/月,上海-徐汇区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-pdxq/61848779.html?s=01&amp;t=0,上海龙泰信息技术有限公司,https://jobs.51job.com/all/co2401859.html,3-4.5千/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-bsq/103122420.html?s=01&amp;t=0,上海复控华龙微系统技术有限公司,https://jobs.51job.com/all/co2093029.html,0.8-1万/月,上海-宝山区,08-24
测试工程师（上海应届生）,https://jobs.51job.com/shanghai-ptq/104369716.html?s=01&amp;t=0,上海古鳌电子科技股份有限公司,https://jobs.51job.com/all/co2175411.html,5-8千/月,上海-普陀区,08-24
高级测试工程师,https://jobs.51job.com/shanghai/105297055.html?s=01&amp;t=0,上海葡萄城信息技术有限公司,https://jobs.51job.com/all/co11879.html,0.8-1.5万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai-sjq/105308446.html?s=01&amp;t=0,上海鉴源检测技术有限公司,https://jobs.51job.com/all/co5051123.html,0.5-1万/月,上海-松江区,08-24
测试工程师-零部件产品（2019届毕业生）,https://jobs.51job.com/shanghai/105968334.html?s=01&amp;t=0,DEKRA Group(Mainland China)德凯中国,https://jobs.51job.com/all/co2337669.html,,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai-ptq/85537318.html?s=01&amp;t=0,中国电子科技集团公司第五十研究所,https://jobs.51job.com/all/co2115628.html,0.5-1万/月,上海-普陀区,08-24
手游测试工程师,https://jobs.51job.com/shanghai-xhq/100638507.html?s=01&amp;t=0,上海姚际信息科技有限公司,https://jobs.51job.com/all/co4966010.html,4-8千/月,上海-徐汇区,08-24
软件信息安全测试工程师,https://jobs.51job.com/shanghai-pdxq/103434913.html?s=01&amp;t=0,上海期货信息技术有限公司,https://jobs.51job.com/all/co4495051.html,,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-ypq/105105707.html?s=01&amp;t=0,上海莱泽信息技术有限公司,https://jobs.51job.com/all/co3759269.html,0.8-1万/月,上海-杨浦区,08-24
初级硬件测试工程师 E2,https://jobs.51job.com/shanghai-ypq/88943726.html?s=01&amp;t=0,儒竞艾默生环境优化技术（上海）有限公司,https://jobs.51job.com/all/co3374320.html,5-6千/月,上海-杨浦区,08-24
软件测试工程师（唐镇）,https://jobs.51job.com/shanghai-pdxq/68416856.html?s=01&amp;t=0,上海新晨信息集成系统有限公司,https://jobs.51job.com/all/co121282.html,5.5-9千/月,上海-浦东新区,08-24
高级软件测试工程师,https://jobs.51job.com/shanghai-xhq/105598283.html?s=01&amp;t=0,上海翰凌信息技术有限公司,https://jobs.51job.com/all/co2198957.html,1.2-1.8万/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/99308683.html?s=01&amp;t=0,上海棕桦信息科技有限公司,https://jobs.51job.com/all/co4261853.html,0.5-1万/月,上海-浦东新区,08-24
材料测试工程师,https://jobs.51job.com/shanghai-jdq/55406787.html?s=01&amp;t=0,冠标（上海）检测技术有限公司,https://jobs.51job.com/all/co2966433.html,6-7千/月,上海-嘉定区,08-24
测试工程师,https://jobs.51job.com/shanghai/89321176.html?s=01&amp;t=0,铭码集团股份有限公司,https://jobs.51job.com/all/co2454736.html,0.8-1万/月,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai-qpq/105581357.html?s=01&amp;t=0,上海酷服信息科技有限公司,https://jobs.51job.com/all/co3238528.html,0.9-1.1万/月,上海-青浦区,08-24
硬件测试工程师,https://jobs.51job.com/shanghai-xhq/87601305.html?s=01&amp;t=0,上海绿联软件股份有限公司,https://jobs.51job.com/all/co3871215.html,0.8-1.2万/月,上海-徐汇区,08-24
系统测试工程师（应届）,https://jobs.51job.com/shanghai-jaq/104303676.html?s=01&amp;t=0,上海台骅货运代理有限公司,https://jobs.51job.com/all/co831725.html,6-8千/月,上海-静安区,08-24
声学测试工程师,https://jobs.51job.com/shanghai-sjq/74683686.html?s=01&amp;t=0,上海泛德声学工程有限公司,https://jobs.51job.com/all/co2526040.html,8-18万/年,上海-松江区,08-24
车辆测试工程师（校招）,https://jobs.51job.com/shanghai-cnq/105954472.html?s=01&amp;t=0,福瑞泰克智能系统有限公司,https://jobs.51job.com/all/co4117622.html,16-22万/年,上海-长宁区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/104238916.html?s=01&amp;t=0,上海欣方智能系统有限公司,https://jobs.51job.com/all/co2203057.html,0.6-1.2万/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/104296810.html?s=01&amp;t=0,上海展卷信息科技有限公司,https://jobs.51job.com/all/co4678374.html,0.6-1.2万/月,上海-浦东新区,08-24
系统测试工程师,https://jobs.51job.com/shanghai-xhq/75277320.html?s=01&amp;t=0,上海科梁信息工程股份有限公司,https://jobs.51job.com/all/co2185525.html,,上海-徐汇区,08-24
高级/资深测试工程师,https://jobs.51job.com/shanghai-cnq/95471513.html?s=01&amp;t=0,挚享科技（上海）有限公司,https://jobs.51job.com/all/co4414228.html,2-2.8万/月,上海-长宁区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/101782939.html?s=01&amp;t=0,上海证大艺术网银科技发展有限公司,https://jobs.51job.com/all/co4961105.html,1.5-2万/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/85278420.html?s=01&amp;t=0,美格智能技术股份有限公司上海分公司,https://jobs.51job.com/all/co2337724.html,5-7千/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-bsq/88383671.html?s=01&amp;t=0,上海微盟企业发展有限公司,https://jobs.51job.com/all/co3185170.html,0.8-1.5万/月,上海-宝山区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-ypq/96566711.html?s=01&amp;t=0,深圳萨摩耶互联网金融服务有限公司,https://jobs.51job.com/all/co3709401.html,1-2万/月,上海-杨浦区,08-24
手机射频测试工程师,https://jobs.51job.com/shanghai-pdxq/105200442.html?s=01&amp;t=0,北京湛腾世纪科技有限公司,https://jobs.51job.com/all/co4219169.html,0.8-1.2万/月,上海-浦东新区,08-24
功耗测试工程师,https://jobs.51job.com/shanghai-pdxq/77740077.html?s=01&amp;t=0,上海企顺信息系统有限公司,https://jobs.51job.com/all/co147274.html,6-7.5千/月,上海-浦东新区,08-24
系统测试工程师,https://jobs.51job.com/shanghai-sjq/105829885.html?s=01&amp;t=0,上海邦邦机器人有限公司,https://jobs.51job.com/all/co4029071.html,1-1.5万/月,上海-松江区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-mhq/98895007.html?s=01&amp;t=0,盐城鸿石智能科技有限公司,https://jobs.51job.com/all/co4234017.html,4-6千/月,上海-闵行区,08-24
金融软件测试工程师（保险方向）,https://jobs.51job.com/shanghai-pdxq/92103679.html?s=01&amp;t=0,上海捷科智诚科技有限公司,https://jobs.51job.com/all/co3329938.html,1-1.5万/月,上海-浦东新区,08-24
APP测试工程师,https://jobs.51job.com/shanghai-ptq/105917414.html?s=01&amp;t=0,优文途新科技（上海）有限公司,https://jobs.51job.com/all/co3459886.html,0.8-1万/月,上海-普陀区,08-24
手机性能测试工程师,https://jobs.51job.com/shanghai-pdxq/103165163.html?s=01&amp;t=0,上海斐德通信科技有限公司,https://jobs.51job.com/all/co3883964.html,0.8-1万/月,上海-浦东新区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-ptq/97181293.html?s=01&amp;t=0,上海聚数信息科技有限公司,https://jobs.51job.com/all/co3606843.html,4.5-6千/月,上海-普陀区,08-24
测试工程师,https://jobs.51job.com/shanghai/101325041.html?s=01&amp;t=0,沈机（上海）智能系统研发设计有限公司,https://jobs.51job.com/all/co2724361.html,0.7-1.5万/月,上海,08-24
测试工程师（2019校园招聘）,https://jobs.51job.com/shanghai-xhq/106001019.html?s=01&amp;t=0,上海趣医网络技术服务有限公司,https://jobs.51job.com/all/co3435869.html,0.8-1.5万/月,上海-徐汇区,08-24
Web测试工程师,https://jobs.51job.com/shanghai/105997025.html?s=01&amp;t=0,赫里普（上海）信息科技有限公司,https://jobs.51job.com/all/co4054364.html,1-2万/月,上海,08-24
高级硬件测试工程师(0157),https://jobs.51job.com/shanghai-jdq/100788835.html?s=01&amp;t=0,凌云光技术集团光通信接入网事业部,https://jobs.51job.com/all/co3889433.html,1-1.5万/月,上海-嘉定区,08-24
测试工程师,https://jobs.51job.com/shanghai/96069730.html?s=01&amp;t=0,华住酒店管理有限公司,https://jobs.51job.com/all/co672253.html,1-1.5万/月,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai-pdxq/97267517.html?s=01&amp;t=0,上海英迈吉东影图像设备有限公司,https://jobs.51job.com/all/co1190249.html,5-8千/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/47651329.html?s=01&amp;t=0,上海软中信息技术有限公司,https://jobs.51job.com/all/co297731.html,6-9千/月,上海-浦东新区,08-24
高级大数据测试工程师,https://jobs.51job.com/shanghai-qpq/105958482.html?s=01&amp;t=0,上海企源科技股份有限公司,https://jobs.51job.com/all/co5042798.html,2-3万/月,上海-青浦区,08-24
硬件测试工程师/摄像头测试/光学测试,https://jobs.51job.com/shanghai-mhq/90800852.html?s=01&amp;t=0,上海易视计算机科技有限公司,https://jobs.51job.com/all/co1170443.html,6-8千/月,上海-闵行区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/105060190.html?s=01&amp;t=0,上海爱彼此家居用品股份有限公司,https://jobs.51job.com/all/co2418939.html,0.8-1万/月,上海-浦东新区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-ypq/100715958.html?s=01&amp;t=0,上海优景智能科技股份有限公司,https://jobs.51job.com/all/co2660477.html,1-2万/月,上海-杨浦区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-cnq/93299858.html?s=01&amp;t=0,上海持悦网络科技有限公司,https://jobs.51job.com/all/co4251643.html,0.7-1万/月,上海-长宁区,08-24
集成电路IC测试工程师（TE/Test Engineer）,https://jobs.51job.com/shanghai-pdxq/85355102.html?s=01&amp;t=0,上海英联电子科技有限公司,https://jobs.51job.com/all/co126240.html,0.8-1.5万/月,上海-浦东新区,08-24
中高级测试工程师,https://jobs.51job.com/shanghai-ypq/105979280.html?s=01&amp;t=0,上海融拓信息科技有限公司,https://jobs.51job.com/all/co3785113.html,1.5-2万/月,上海-杨浦区,08-24
嵌入式软件测试工程师,https://jobs.51job.com/shanghai-pdxq/104887451.html?s=01&amp;t=0,上海爱韦讯信息技术股份有限公司,https://jobs.51job.com/all/co2362969.html,0.8-1.5万/月,上海-浦东新区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/88381380.html?s=01&amp;t=0,上海宽睿信息科技有限责任公司,https://jobs.51job.com/all/co3955664.html,0.8-1.5万/月,上海-浦东新区,08-24
研发测试工程师,https://jobs.51job.com/shanghai-fxq/75569792.html?s=01&amp;t=0,上海颐坤自动化控制设备有限公司,https://jobs.51job.com/all/co2399297.html,6-8千/月,上海-奉贤区,08-24
软件测试工程师（2年以上）,https://jobs.51job.com/shanghai-jaq/103928245.html?s=01&amp;t=0,学透通医疗科技（上海）有限公司,https://jobs.51job.com/all/co3789062.html,0.8-2万/月,上海-静安区,08-24
软件测试工程师,https://jobs.51job.com/shanghai/99675270.html?s=01&amp;t=0,车音智能科技有限公司,https://jobs.51job.com/all/co2649742.html,0.8-1.5万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai/104648739.html?s=01&amp;t=0,上海瞬雷电子科技有限公司,https://jobs.51job.com/all/co2479921.html,4-5千/月,上海,08-24
电子测试工程师,https://jobs.51job.com/shanghai-sjq/105354031.html?s=01&amp;t=0,上海佳勒电子有限公司,https://jobs.51job.com/all/co4968917.html,0.8-1万/月,上海-松江区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/105972381.html?s=01&amp;t=0,上海创远仪器技术股份有限公司,https://jobs.51job.com/all/co199995.html,6-8千/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-jsq/94002319.html?s=01&amp;t=0,上海阳明汽车部件有限公司,https://jobs.51job.com/all/co2258136.html,0.8-1万/月,上海-金山区,08-24
阿里游戏-手游资深测试工程师-上海,https://jobs.51job.com/shanghai/105974416.html?s=01&amp;t=0,阿里巴巴集团,https://jobs.51job.com/all/co1991749.html,,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai/70507789.html?s=01&amp;t=0,上海元聚网络科技有限公司,https://jobs.51job.com/all/co2859901.html,0.9-1.5万/月,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai-mhq/105998066.html?s=01&amp;t=0,上海雷塔智能科技有限公司,https://jobs.51job.com/all/co2266759.html,0.8-1.5万/月,上海-闵行区,08-24
软件测试工程师（有留用机会）,https://jobs.51job.com/shanghai-pdxq/105986879.html?s=01&amp;t=0,富谙智（上海）信息技术有限公司,https://jobs.51job.com/all/co4344923.html,300元/天,上海-浦东新区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-hpq/106000359.html?s=01&amp;t=0,上海万宝商琏电子商务有限公司,https://jobs.51job.com/all/co4823638.html,1-1.2万/月,上海-黄浦区,08-24
测试工程师（偏硬件）,https://jobs.51job.com/shanghai-xhq/105998436.html?s=01&amp;t=0,上海易教信息科技有限公司,https://jobs.51job.com/all/co2346401.html,4-8千/月,上海-徐汇区,08-24
Router路由器测试工程师,https://jobs.51job.com/shanghai-pdxq/105998088.html?s=01&amp;t=0,络为通通讯科技（上海）有限公司,https://jobs.51job.com/all/co2324729.html,1-2万/月,上海-浦东新区,08-24
