zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
测试工程师,http://jobs.51job.com/shanghai/59986127.html?s=01&amp;t=0,无锡超正软件有限公司,http://jobs.51job.com/all/co3948783.html,4-8千/月,上海,03-05
日语高级测试工程师（要求日语一级）,http://jobs.51job.com/shanghai/97302266.html?s=01&amp;t=0,上海芯旺微电子技术有限公司,http://jobs.51job.com/all/co3010227.html,0.6-1.5万/月,上海,03-05
自动化测试工程师,http://jobs.51job.com/shanghai/99117543.html?s=01&amp;t=0,阔利达软件（上海）有限公司,http://jobs.51job.com/all/co251787.html,0.8-1万/月,上海,03-05
自动化测试工程师,http://jobs.51job.com/shanghai-jaq/99148633.html?s=01&amp;t=0,文思海辉技术有限公司Pactera Technology International Limited,http://jobs.51job.com/all/co2204116.html,1-1.5万/月,上海,03-05
高级测试工程师,http://jobs.51job.com/shanghai-pdxq/98786989.html?s=01&amp;t=0,上海汇银（集团）有限公司,http://jobs.51job.com/all/co227210.html,2.5-3万/月,上海-静安区,03-05
汽车电子产品测试工程师,http://jobs.51job.com/shanghai-xhq/92153508.html?s=01&amp;t=0,上海金指软件技术有限公司,http://jobs.51job.com/all/co2181691.html,1.2-1.5万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/99144640.html?s=01&amp;t=0,希凯电子机械开发（上海）有限公司,http://jobs.51job.com/all/co191820.html,4.5-6千/月,上海-徐汇区,03-05
（国企北斗导航）软件测试工程师,http://jobs.51job.com/shanghai-hkq/95220941.html?s=01&amp;t=0,深圳元立方金融服务有限公司上海分公司,http://jobs.51job.com/all/co4096727.html,0.7-1.4万/月,上海-浦东新区,03-05
高级软件测试工程师,http://jobs.51job.com/shanghai-pdxq/83013551.html?s=01&amp;t=0,上海北斗卫星导航平台有限公司,http://jobs.51job.com/all/co2876453.html,10-25万/年,上海-虹口区,03-05
测试工程师/售后技术支持工程师（急招）,http://jobs.51job.com/shanghai/74085335.html?s=01&amp;t=0,上海汉朔信息科技有限公司,http://jobs.51job.com/all/co4107301.html,1.5-2万/月,上海-浦东新区,03-05
测试工程师（手游、急招）,http://jobs.51job.com/shanghai-ypq/91087771.html?s=01&amp;t=0,上海英同电气有限公司,http://jobs.51job.com/all/co3345095.html,6-8千/月,上海,03-05
化学分析测试工程师,http://jobs.51job.com/shanghai/99126493.html?s=01&amp;t=0,上海逸趣网络科技有限公司,http://jobs.51job.com/all/co2799971.html,4-8千/月,上海-杨浦区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/77525648.html?s=01&amp;t=0,傲锐汽车部件（上海）有限公司,http://jobs.51job.com/all/co2298143.html,7-9千/月,上海,03-05
硬件测试工程师（校招、应届生）,http://jobs.51job.com/shanghai-xhq/99144225.html?s=01&amp;t=0,上海晓联信息技术有限公司,http://jobs.51job.com/all/co2879957.html,0.8-1万/月,上海-浦东新区,03-05
开发测试工程师（上海）,http://jobs.51job.com/shanghai-pdxq/99138924.html?s=01&amp;t=0,上海快仓智能科技有限公司,http://jobs.51job.com/all/co3325525.html,170元/天,上海-徐汇区,03-05
系统测试工程师,http://jobs.51job.com/shanghai-xhq/98450733.html?s=01&amp;t=0,杭州友声科技股份有限公司,http://jobs.51job.com/all/co3847858.html,0.6-1.5万/月,上海-浦东新区,03-05
web测试工程师,http://jobs.51job.com/shanghai-cnq/98364166.html?s=01&amp;t=0,MAX Communication,http://jobs.51job.com/all/co2457518.html,0.6-1万/月,上海-徐汇区,03-05
SH-TA-EB-软件测试工程师,http://jobs.51job.com/shanghai/99142481.html?s=01&amp;t=0,NeuLion中国,http://jobs.51job.com/all/co1210068.html,1.2-1.8万/月,上海-长宁区,03-05
测试工程师,http://jobs.51job.com/shanghai/92903679.html?s=01&amp;t=0,上海华钦信息科技股份有限公司,http://jobs.51job.com/all/co4361747.html,1-1.5万/月,上海,03-05
Test Engineer / 测试工程师,http://jobs.51job.com/shanghai/91341454.html?s=01&amp;t=0,上海北溟数据科技有限公司,http://jobs.51job.com/all/co3946827.html,0.6-1.2万/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai/55975910.html?s=01&amp;t=0,艾谱特工业自动化（上海）有限公司,http://jobs.51job.com/all/co419953.html,1.5-2万/月,上海,03-05
高级软件测试工程师,http://jobs.51job.com/shanghai-xhq/56439825.html?s=01&amp;t=0,上海大郡动力控制技术有限公司,http://jobs.51job.com/all/co2346077.html,0.7-1万/月,上海,03-05
Chemist  化学测试工程师,http://jobs.51job.com/shanghai-pdxq/43239788.html?s=01&amp;t=0,聚领信息技术（上海）有限公司,http://jobs.51job.com/all/co2790392.html,6-8千/月,上海-徐汇区,03-05
IC 测试工程师,http://jobs.51job.com/shanghai-xhq/98696174.html?s=01&amp;t=0,恩福(上海)检测技术有限公司,http://jobs.51job.com/all/co2457953.html,8-10万/年,上海-浦东新区,03-05
高级软件测试工程师,http://jobs.51job.com/shanghai-mhq/99141317.html?s=01&amp;t=0,上海聚跃电子科技有限公司,http://jobs.51job.com/all/co3197505.html,4-8.5千/月,上海-徐汇区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/93668374.html?s=01&amp;t=0,西藏衣得体信息科技有限公司,http://jobs.51job.com/all/co3051600.html,1-2万/月,上海-闵行区,03-05
中级软件测试工程师,http://jobs.51job.com/shanghai-xhq/96187514.html?s=01&amp;t=0,上海矽昌通信技术有限公司,http://jobs.51job.com/all/co3565664.html,5-8千/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-sjq/98532678.html?s=01&amp;t=0,巨和投资管理（上海）有限公司,http://jobs.51job.com/all/co3254400.html,7-9千/月,上海-徐汇区,03-05
测试工程师,http://jobs.51job.com/shanghai-jaq/96631316.html?s=01&amp;t=0,上海汽车地毯总厂有限公司,http://jobs.51job.com/all/co4370130.html,4.5-6千/月,上海-松江区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/66743302.html?s=01&amp;t=0,上海申腾信息技术有限公司,http://jobs.51job.com/all/co107082.html,6-10万/年,上海-静安区,03-05
中高级测试工程师,http://jobs.51job.com/shanghai/98344324.html?s=01&amp;t=0,公安部第三研究所信息安全技术处,http://jobs.51job.com/all/co2031261.html,0.8-1万/月,上海-浦东新区,03-05
Test Engineer（测试工程师）,http://jobs.51job.com/shanghai/80388545.html?s=01&amp;t=0,赞同科技股份有限公司,http://jobs.51job.com/all/co2966427.html,0.8-1.4万/月,上海,03-05
APP测试工程师,http://jobs.51job.com/shanghai-sjq/98802930.html?s=01&amp;t=0,上海聚益信息技术有限公司,http://jobs.51job.com/all/co229578.html,0.5-1.2万/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai-sjq/97671092.html?s=01&amp;t=0,上海锐伟电子科技有限公司,http://jobs.51job.com/all/co2288075.html,0.8-1万/月,上海-松江区,03-05
产品测试工程师,http://jobs.51job.com/shanghai-jaq/92318798.html?s=01&amp;t=0,上海煜频科技有限公司,http://jobs.51job.com/all/co4843719.html,0.5-1万/月,上海-松江区,03-05
高级测试工程师,http://jobs.51job.com/shanghai-xhq/95206380.html?s=01&amp;t=0,上海欣丰电子有限公司,http://jobs.51job.com/all/co527749.html,0.8-1万/月,上海-静安区,03-05
硬件测试工程师,http://jobs.51job.com/shanghai-pdxq/96174627.html?s=01&amp;t=0,上海联蔚信息科技有限公司,http://jobs.51job.com/all/co2206804.html,1-1.5万/月,上海-徐汇区,03-05
自动化测试工程师,http://jobs.51job.com/shanghai/99135559.html?s=01&amp;t=0,臻驱科技（上海）有限公司,http://jobs.51job.com/all/co4656363.html,0.8-1.5万/月,上海-浦东新区,03-05
自动化测试工程师,http://jobs.51job.com/shanghai-cnq/99135653.html?s=01&amp;t=0,上海汉得信息技术股份有限公司,http://jobs.51job.com/all/co108418.html,1-1.6万/月,上海,03-05
维修测试工程师,http://jobs.51job.com/shanghai-ptq/97948514.html?s=01&amp;t=0,福建创昱达信息技术有限公司,http://jobs.51job.com/all/co1593304.html,0.7-1.4万/月,上海-长宁区,03-05
测试工程师,http://jobs.51job.com/shanghai/87137281.html?s=01&amp;t=0,上海菱秀自动化科技有限公司,http://jobs.51job.com/all/co2023413.html,6-8千/月,上海-普陀区,03-05
接口测试工程师（塘镇 编号05）,http://jobs.51job.com/shanghai-pdxq/98705931.html?s=01&amp;t=0,英业达（上海）有限公司,http://jobs.51job.com/all/co264631.html,6-8千/月,上海,03-05
软件测试工程师,http://jobs.51job.com/shenzhen/99123152.html?s=01&amp;t=0,上海复深蓝软件股份有限公司,http://jobs.51job.com/all/co102233.html,0.9-1.5万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/86961730.html?s=01&amp;t=0,厦门唐普信息技术有限公司,http://jobs.51job.com/all/co4868023.html,0.6-1.6万/月,异地招聘,03-05
测试工程师(欢迎工科应届生）,http://jobs.51job.com/shanghai-mhq/92478768.html?s=01&amp;t=0,上海牛邦网络科技有限公司,http://jobs.51job.com/all/co3240266.html,6-8千/月,上海-浦东新区,03-05
产品测试工程师,http://jobs.51job.com/shanghai-jdq/98408686.html?s=01&amp;t=0,上海贝特威自动化科技有限公司,http://jobs.51job.com/all/co1484561.html,4.5-6千/月,上海-闵行区,03-05
高级软件测试工程师,http://jobs.51job.com/shanghai-pdxq/94971726.html?s=01&amp;t=0,上海康茂胜自动控制有限公司,http://jobs.51job.com/all/co2308587.html,5-7千/月,上海-嘉定区,03-05
